Nº doc.cálc.,Cta.contrato,Contrato,Porción,PosDoc,CDoc,MA,FinPerCálc,Válido de,Validez a,CtdCálc,Cantidad cálculo,ContPorTmp,kwh
56240643970,600000175082,218183601,RP_01,000003,ZKWHR,,01/06/2021,03/05/2021,01/06/2021,"7,214",0.40000000000000,30.0000,30.40000000000000
56240643970,600000175082,218183601,RP_01,000004,ZKW,,01/06/2021,03/05/2021,01/06/2021,24,0.00000000000000,30.0000,30.00000000000000
56240643970,600000175082,218183601,RP_01,000005,ZFP,,01/06/2021,03/05/2021,01/06/2021,0,0.90000000000000,30.0000,30.90000000000000
50000061614,600000175082,218183601,RP_01,000004,ZKW,,03/03/2021,02/02/2021,03/03/2021,24,0.58400000000000,30.0000,30.58400000000000
50000061614,600000175082,218183601,RP_01,000001,ZKWHP,,03/03/2021,02/02/2021,03/03/2021,"3,405",0.60000000000000,30.0000,30.60000000000000
50000061614,600000175082,218183601,RP_01,000002,ZKWHV,,03/03/2021,02/02/2021,03/03/2021,"3,136",0.80000000000000,30.0000,30.80000000000000
50000061614,600000175082,218183601,RP_01,000003,ZKWHR,,03/03/2021,02/02/2021,03/03/2021,"7,340",0.30000000000000,30.0000,30.30000000000000
50000061614,600000175082,218183601,RP_01,000005,ZFP,,03/03/2021,02/02/2021,03/03/2021,0,0.90000000000000,30.0000,30.90000000000000
59480279933,600000175082,218183601,RP_01,000004,ZKW,,01/04/2021,04/03/2021,01/04/2021,24,0.58000000000000,29.0000,29.58000000000000
59480279933,600000175082,218183601,RP_01,000001,ZKWHP,,01/04/2021,04/03/2021,01/04/2021,"3,241",0.10000000000000,29.0000,29.10000000000000
59480279933,600000175082,218183601,RP_01,000002,ZKWHV,,01/04/2021,04/03/2021,01/04/2021,"2,965",0.80000000000000,29.0000,29.80000000000000
59480279933,600000175082,218183601,RP_01,000003,ZKWHR,,01/04/2021,04/03/2021,01/04/2021,"6,973",0.90000000000000,29.0000,29.90000000000000
59480279933,600000175082,218183601,RP_01,000005,ZFP,,01/04/2021,04/03/2021,01/04/2021,0,0.90000000000000,29.0000,29.90000000000000
57260494840,600000175082,218183601,RP_01,000004,ZKWHV,,02/05/2021,15/04/2021,02/05/2021,"1,840",0.81940000000000,18.0000,18.81940000000000
57260494840,600000175082,218183601,RP_01,000001,ZKWHP,,02/05/2021,02/04/2021,14/04/2021,"1,452",0.89670000000000,13.0000,13.89670000000000
57260494840,600000175082,218183601,RP_01,000002,ZKWHP,,02/05/2021,15/04/2021,02/05/2021,"2,011",0.70330000000000,18.0000,18.70330000000000
57260494840,600000175082,218183601,RP_01,000003,ZKWHV,,02/05/2021,02/04/2021,14/04/2021,"1,329",0.48060000000000,13.0000,13.48060000000000
57260494840,600000175082,218183601,RP_01,000005,ZKWHR,,02/05/2021,02/04/2021,14/04/2021,"3,126",0.24830000000000,13.0000,13.24830000000000
57260494840,600000175082,218183601,RP_01,000006,ZKWHR,,02/05/2021,15/04/2021,02/05/2021,"4,328",0.65170000000000,18.0000,18.65170000000000
57260494840,600000175082,218183601,RP_01,000007,ZKW,,02/05/2021,02/04/2021,02/05/2021,24,0.60900000000000,31.0000,31.60900000000000
57260494840,600000175082,218183601,RP_01,000008,ZFP,,02/05/2021,02/04/2021,02/05/2021,0,0.93200000000000,31.0000,31.93200000000000
62280442208,600000175082,218183601,RP_01,000005,ZKWHR,,01/08/2021,02/07/2021,14/07/2021,"3,449",0.57090000000000,13.0000,13.57090000000000
